wavfile,transcript,emo,v,a,d,n
MSP-IMPROV-S02S-M03-R-MM01.wav,I'm quite sure that we will find some way or another..,N,2.4,4.2,2.6,3.4
MSP-IMPROV-S03A-F02-R-FF01.wav,Ella Jorgenson made the Pudding..,N,2.125,3.375,3.25,2.75
MSP-IMPROV-S03A-F03-R-FF01.wav,Ella Jorgenson made the Pudding..,A,2.285714,2.714286,3.571429,2.714286
MSP-IMPROV-S03A-F05-R-FF01.wav,"I want Jorgenson, it made the Pudding..",A,1.6,1.8,4.0,1.8
MSP-IMPROV-S03A-F06-R-FF01.wav,Ella Jorgenson make the Pudding..,A,1.5,3.666667,3.166667,3.166667
MSP-IMPROV-S03A-M01-R-MM01.wav,Ellen Jorgenson made the Pudding..,A,1.6,2.8,3.0,2.4
MSP-IMPROV-S03A-M02-R-MM01.wav,I would jorgenson make the Pudding..,N,2.8,4.4,2.8,2.8
MSP-IMPROV-S03A-M03-R-MM01.wav,Ella Jorgenson made the Pudding..,N,3.0,4.0,2.5,3.166667
MSP-IMPROV-S03H-F02-R-FF01.wav,Ella Jorgenson made the Pudding..,H,4.4,3.0,3.4,2.8
MSP-IMPROV-S03H-F03-R-FF01.wav,Ella Jorgenson made the Pudding..,H,4.5,2.125,3.625,3.25
MSP-IMPROV-S03H-F05-R-FF01.wav,I love Jordan send me the Pudding..,H,4.285714,2.0,4.0,2.714286
MSP-IMPROV-S03H-F06-R-FF01.wav,Ella Jorgenson made the Pudding..,N,3.5,3.333333,3.166667,3.5
MSP-IMPROV-S03H-M01-R-MM01.wav,Belligerence in the Pudding..,X,3.0,3.6,3.4,2.4
MSP-IMPROV-S03H-M02-R-MM01.wav,"Hello Jordan, some pudding..",N,3.333333,4.222222,3.0,2.888889
MSP-IMPROV-S03H-M03-R-MM01.wav,Alan Jorgensen at the Pudding..,N,3.166667,3.833333,2.666667,3.0
MSP-IMPROV-S03N-F02-R-FF01.wav,Ella Jorgenson made the Pudding..,N,3.285714,4.428571,2.285714,3.857143
MSP-IMPROV-S03N-F03-R-FF01.wav,Ella Jorgenson made the Pudding..,N,3.0,4.0,3.285714,3.571429
MSP-IMPROV-S03N-F05-R-FF01.wav,I would consider Pudding..,N,3.4,3.8,2.8,3.0
MSP-IMPROV-S03N-F05-R-FF02.wav,Elegance in mid pudding..,N,3.0,4.571429,2.857143,4.0
MSP-IMPROV-S03N-F06-R-FF01.wav,Elidor consider pudding..,N,2.571429,4.142857,2.571429,3.142857
MSP-IMPROV-S03N-M01-R-MM01.wav,It wouldn't be the Pudding..,N,3.166667,3.5,3.5,2.833333
MSP-IMPROV-S03N-M01-R-MM02.wav,Illinois instant pudding..,N,3.0,4.0,2.8,2.8
MSP-IMPROV-S03N-M02-R-MM01.wav,I was going to make pudding..,N,3.0,4.0,2.6,3.6
MSP-IMPROV-S03N-M03-R-MM01.wav,Ella Jorgenson in the Pudding..,N,3.0,4.4,2.6,3.0
MSP-IMPROV-S03S-F02-R-FF01.wav,Ella Jorgenson made the Pudding..,N,2.571429,4.428571,1.714286,2.857143
MSP-IMPROV-S03S-F03-R-FF01.wav,Ella Jorgenson made the Pudding..,X,1.8,3.4,3.2,3.8
MSP-IMPROV-S03S-F03-R-FF02.wav,Ella Jorgenson made the Pudding..,S,2.142857,4.142857,2.857143,3.0
MSP-IMPROV-S03S-F05-R-FF01.wav,Ellejoy consider pudding..,S,1.6,2.6,3.0,1.6
MSP-IMPROV-S03S-F05-R-FF02.wav,"Oh, it's working since made the Pudding..",S,1.6,3.6,2.6,2.0
MSP-IMPROV-S03S-F06-R-FF01.wav,Ella Jorgenson made the Pudding..,S,1.5,3.666667,2.166667,2.5
MSP-IMPROV-S03S-M01-R-MM01.wav,Don't do anything in the Pudding..,A,2.285714,2.714286,3.285714,2.714286
MSP-IMPROV-S03S-M02-R-MM01.wav,Hello Jorgenson Pudding..,N,3.0,4.428571,1.714286,2.714286
MSP-IMPROV-S03S-M03-R-MM01.wav,"Alan Jorgensen, the Pudding..",S,2.2,4.2,2.2,3.4
MSP-IMPROV-S04A-F02-R-FF01.wav,The floor was completely covered..,A,2.375,2.5,3.875,3.0
MSP-IMPROV-S04A-F03-R-FF01.wav,The floor was completely covered..,A,1.6,2.2,4.0,3.6
MSP-IMPROV-S04A-F05-R-FF01.wav,The floor is completely covered..,A,2.0,2.8,3.2,2.6
MSP-IMPROV-S04A-F06-R-FF01.wav,The floor was completely covered..,A,1.8,2.8,3.2,4.0
MSP-IMPROV-S04A-M01-R-MM01.wav,The floor with completely covered..,A,1.166667,2.0,4.0,3.166667
MSP-IMPROV-S04A-M02-R-MM01.wav,The floor was completely covered..,N,2.666667,3.833333,2.666667,2.5
MSP-IMPROV-S04A-M03-R-MM01.wav,The floor was completely covered..,N,2.6,3.2,3.6,3.4
MSP-IMPROV-S04H-F02-R-FF01.wav,The floor was completely covered..,H,3.8,2.2,4.2,3.8
MSP-IMPROV-S04H-F03-R-FF01.wav,The floor was completely covered..,N,3.8,3.6,2.8,2.4
MSP-IMPROV-S04H-F05-R-FF01.wav,The floor was completely covered..,H,4.5,2.5,3.333333,2.833333
MSP-IMPROV-S04H-F06-R-FF01.wav,The floor was completely covered..,H,3.6,2.8,3.0,3.0
MSP-IMPROV-S04H-M01-R-MM01.wav,The floor was completely covered..,N,2.5,3.166667,2.833333,2.166667
MSP-IMPROV-S04H-M02-R-MM01.wav,The floor is completely covered..,N,3.4,3.8,2.6,3.6
MSP-IMPROV-S04H-M03-R-MM01.wav,How is completely covered?.,X,3.666667,4.0,3.0,3.333333
MSP-IMPROV-S04N-F02-R-FF01.wav,The floor was completely covered..,N,3.2,4.4,2.8,3.4
MSP-IMPROV-S04N-F03-R-FF01.wav,The floor was completely covered..,N,3.0,3.8,3.6,3.8
MSP-IMPROV-S04N-F05-R-FF01.wav,The floor was completely covered..,N,2.8,4.2,2.6,2.6
MSP-IMPROV-S04N-F05-R-FF02.wav,The floor is completely covered..,N,3.0,3.833333,2.5,3.666667
MSP-IMPROV-S04N-F06-R-FF01.wav,The floor was completely covered..,A,1.8,3.8,3.2,3.8
MSP-IMPROV-S04N-M01-R-MM01.wav,The floor was completely covered..,N,3.0,4.2,2.4,3.2
MSP-IMPROV-S04N-M01-R-MM02.wav,The floor was completely covered..,A,2.4,3.0,3.4,3.0
MSP-IMPROV-S04N-M02-R-MM01.wav,The floor was completely covered..,N,2.857143,4.571429,2.142857,3.0
MSP-IMPROV-S04N-M03-R-MM01.wav,The floor was completely covered..,N,2.6,4.6,2.6,3.8
MSP-IMPROV-S04S-F02-R-FF01.wav,Floor was completely covered..,S,2.8,4.2,2.6,2.8
MSP-IMPROV-S04S-F03-R-FF01.wav,The floor was completely covered..,S,1.6,3.2,3.2,2.8
MSP-IMPROV-S04S-F03-R-FF02.wav,The floor was completely covered..,O,1.555556,3.444444,3.333333,3.888889
MSP-IMPROV-S04S-F05-R-FF01.wav,The floor was completely covered..,S,1.428571,3.285714,3.285714,2.714286
MSP-IMPROV-S04S-F05-R-FF02.wav,The floor was completely covered..,S,1.833333,3.5,2.5,3.0
MSP-IMPROV-S04S-F06-R-FF01.wav,The floor was completely covered..,S,1.857143,4.0,3.0,3.0
MSP-IMPROV-S04S-M01-R-MM01.wav,The floor with completely covered..,X,2.0,3.0,2.4,1.4
MSP-IMPROV-S04S-M02-R-MM01.wav,The floor is completely covered..,N,2.6,4.2,3.0,3.8
MSP-IMPROV-S04S-M03-R-MM01.wav,The floor was completely covered..,S,2.428571,4.571429,2.142857,2.714286
MSP-IMPROV-S05A-F02-R-FF01.wav,They're just gonna go ahead regardless..,A,2.0,3.6,4.0,3.8
MSP-IMPROV-S05A-F03-R-FF01.wav,They're just going to go ahead regardless..,A,1.6,2.6,3.4,3.8
MSP-IMPROV-S05A-F05-R-FF01.wav,You're just going to go ahead regardless..,A,1.333333,1.666667,4.166667,4.0
MSP-IMPROV-S05A-F06-R-FF01.wav,They're just going to go ahead regardless..,A,2.0,3.0,3.5,2.833333
MSP-IMPROV-S05A-M01-R-MM01.wav,They're just going to go ahead regardless..,A,1.8,1.6,4.0,3.2
MSP-IMPROV-S05A-M02-R-MM01.wav,They're just going to go ahead regardless..,N,2.571429,3.714286,3.0,3.714286
MSP-IMPROV-S05A-M03-R-MM01.wav,We are just going to go ahead regardless..,A,2.0,3.8,3.4,2.8
MSP-IMPROV-S05H-F02-R-FF01.wav,They're just gonna go ahead regardless..,H,4.2,3.6,3.2,2.6
MSP-IMPROV-S05H-F03-R-FF01.wav,They're just going to go ahead regardless..,N,3.333333,3.666667,3.5,2.833333
MSP-IMPROV-S05H-F05-R-FF01.wav,They're just going to go ahead regardless..,H,3.6,3.2,3.2,2.4
MSP-IMPROV-S05H-F06-R-FF01.wav,Just going to go ahead regardless..,N,3.0,3.0,3.0,3.0
MSP-IMPROV-S05H-M01-R-MM01.wav,There just going to go ahead regardless..,A,1.833333,3.0,3.333333,2.833333
MSP-IMPROV-S05H-M02-R-MM01.wav,They're just going to go ahead regardless..,N,2.4,4.2,2.6,2.4
MSP-IMPROV-S05H-M03-R-MM01.wav,They just gonna go ahead regardless..,N,2.666667,4.0,2.833333,2.333333
MSP-IMPROV-S05N-F02-R-FF01.wav,They're just going to go ahead regardless..,N,2.8,4.0,3.0,2.6
MSP-IMPROV-S05N-F03-R-FF01.wav,They're just going to go ahead regardless..,A,2.2,3.6,2.8,3.8
MSP-IMPROV-S05N-F05-R-FF01.wav,They're just going to go ahead regardless..,N,2.833333,4.5,2.833333,3.5
MSP-IMPROV-S05N-F05-R-FF02.wav,Just going to go ahead regardless..,N,2.8,4.2,3.0,3.8
MSP-IMPROV-S05N-F06-R-FF01.wav,They're just going to go ahead regardless..,A,2.166667,3.666667,3.166667,3.666667
MSP-IMPROV-S05N-M01-R-MM01.wav,They're just going to go ahead regardless..,N,2.6,3.6,2.4,3.2
MSP-IMPROV-S05N-M01-R-MM02.wav,They're just going to go ahead regardless..,A,2.166667,3.333333,3.333333,3.166667
MSP-IMPROV-S05N-M02-R-MM01.wav,There's going to go ahead regardless..,N,2.2,5.0,2.8,3.2
MSP-IMPROV-S05N-M03-R-MM01.wav,They're just going to go ahead regardless..,N,2.833333,4.0,3.333333,3.333333
MSP-IMPROV-S05S-F02-R-FF01.wav,They're just going to go ahead regardless..,S,2.4,3.6,3.2,4.0
MSP-IMPROV-S05S-F03-R-FF01.wav,Dad just going to go ahead regardless..,S,2.2,3.4,2.6,2.4
MSP-IMPROV-S05S-F03-R-FF02.wav,They're just going to go ahead regardless..,S,1.6,4.2,2.6,3.6
MSP-IMPROV-S05S-F05-R-FF01.wav,There just going to go ahead regardless..,S,1.4,3.4,2.2,2.4
MSP-IMPROV-S05S-F05-R-FF02.wav,Just going to go ahead regardless..,S,1.6,4.0,3.4,2.8
MSP-IMPROV-S05S-F06-R-FF01.wav,"They're just going to go ahead, we're Carless..",S,1.6,3.8,2.8,3.8
MSP-IMPROV-S05S-M01-R-MM01.wav,You're just going to go with him regardless..,X,1.857143,2.571429,3.428571,3.142857
MSP-IMPROV-S05S-M02-R-MM01.wav,They're just going to go ahead regardless..,N,2.2,4.2,2.6,3.4
MSP-IMPROV-S05S-M03-R-MM01.wav,They're just going to go ahead regardless..,N,2.5,4.833333,2.833333,3.5
MSP-IMPROV-S06A-F02-R-FF01.wav,It is all been scheduled since Wednesday..,A,1.8,2.6,3.6,2.8
MSP-IMPROV-S06A-F03-R-FF01.wav,Who is all been scheduled since Wednesday?.,A,1.2,1.6,4.4,3.0
MSP-IMPROV-S06A-F05-R-FF01.wav,It has all been scheduled since Wednesday..,A,1.8,2.0,4.0,2.2
MSP-IMPROV-S06A-F06-R-FF01.wav,It has all been scheduled since Wednesday..,A,1.8,3.4,2.6,2.8
MSP-IMPROV-S06A-M01-R-MM01.wav,It is always schedule since Wednesday..,A,1.333333,2.166667,4.0,2.0
MSP-IMPROV-S06A-M01-R-MM02.wav,Resolving schedule and since Wednesday..,A,1.0,1.6,4.0,2.0
MSP-IMPROV-S06A-M02-R-MM01.wav,Resolving schedule since Wednesday..,N,3.0,4.285714,3.142857,3.0
MSP-IMPROV-S06A-M03-R-MM01.wav,It is all been scheduled since Wednesday..,A,2.125,3.5,3.375,2.5
MSP-IMPROV-S06H-F02-R-FF01.wav,It is all than scheduled since Wednesday..,H,4.0,3.8,3.2,2.8
MSP-IMPROV-S06H-F03-R-FF01.wav,Is all been scheduled since Wednesday?.,H,4.0,2.0,4.2,2.8
MSP-IMPROV-S06H-F05-R-FF01.wav,It is often scheduled since Wednesday..,H,3.6,2.6,3.4,2.2
MSP-IMPROV-S06H-F06-R-FF01.wav,It has all been scheduled since Wednesday..,N,2.8,3.4,3.0,2.6
MSP-IMPROV-S06H-M01-R-MM01.wav,It is open schedule since Wednesday..,A,2.6,2.6,3.4,2.2
MSP-IMPROV-S06H-M01-R-MM02.wav,Resolving schedule since Wednesday..,A,2.555556,2.111111,3.777778,2.333333
MSP-IMPROV-S06H-M02-R-MM01.wav,Is all been scheduled since Wednesday?.,N,3.4,3.4,3.0,4.4
MSP-IMPROV-S06H-M03-R-MM01.wav,It's all been scheduled since Wednesday..,H,3.5,3.375,3.5,3.875
MSP-IMPROV-S06N-F02-R-FF01.wav,It has all been scheduled since Wednesday..,N,3.142857,4.571429,2.857143,3.714286
MSP-IMPROV-S06N-F03-R-FF01.wav,It is all been scheduled since Wednesday..,N,3.0,4.8,3.0,4.2
MSP-IMPROV-S06N-F05-R-FF01.wav,It has all been scheduled since Wednesday..,N,3.0,4.0,3.0,3.4
MSP-IMPROV-S06N-F06-R-FF01.wav,It has all been scheduled since Wednesday..,S,2.4,4.8,2.8,3.4
MSP-IMPROV-S06N-M01-R-MM01.wav,Resolving schedule since Wednesday..,N,2.375,3.875,3.25,2.625
MSP-IMPROV-S06N-M02-R-MM01.wav,Is all been scheduled since Wednesday?.,N,2.6,4.6,2.4,4.0
MSP-IMPROV-S06N-M03-R-MM01.wav,It is all been scheduled since Wednesday..,N,3.0,4.4,3.0,3.6
MSP-IMPROV-S06S-F02-R-FF01.wav,Is Alden scheduled since Wednesday?.,N,2.6,4.6,2.2,2.8
MSP-IMPROV-S06S-F02-R-FF02.wav,This is all been scheduled since Wednesday..,S,2.6,3.8,3.2,4.0
MSP-IMPROV-S06S-F03-R-FF01.wav,It is all been scheduled since Wednesday..,S,1.8,3.8,3.2,2.8
MSP-IMPROV-S06S-F05-R-FF01.wav,It is all been scheduled since Wednesday..,S,1.6,3.6,3.2,2.8
MSP-IMPROV-S06S-F06-R-FF01.wav,It has all been scheduled since Wednesday..,S,2.142857,4.0,3.0,2.428571
MSP-IMPROV-S06S-M01-R-MM01.wav,Resolving schedule and since Wednesday..,N,2.333333,3.166667,2.666667,1.833333
MSP-IMPROV-S06S-M01-R-MM02.wav,Resolving schedule and since Wednesday..,X,2.0,3.333333,3.166667,2.833333
MSP-IMPROV-S06S-M02-R-MM01.wav,It is all been scheduled since Wednesday..,N,2.8,4.6,2.6,3.8
MSP-IMPROV-S06S-M03-R-MM01.wav,It is all been scheduled since Wednesday..,X,2.4,4.0,2.6,2.8
MSP-IMPROV-S06S-M03-R-MM02.wav,It is all been scheduled since Wednesday..,N,2.6,4.6,2.8,3.4
MSP-IMPROV-S07A-F02-R-FF01.wav,I'm going shopping..I am going shopping..,A,2.2,3.6,3.0,3.0
MSP-IMPROV-S07A-F03-R-FF01.wav,I am going shopping..,A,1.375,2.5,3.875,3.125
MSP-IMPROV-S07A-F05-R-FF01.wav,I am going shopping..,A,1.2,1.6,4.4,3.4
MSP-IMPROV-S07A-F06-R-FF01.wav,I'm going shopping..,A,1.857143,3.285714,3.857143,2.571429
MSP-IMPROV-S07A-M01-R-MM01.wav,I'm going shopping..,A,1.4,2.4,4.0,2.0
MSP-IMPROV-S07A-M01-R-MM02.wav,I'm going shopping..,A,1.571429,1.285714,4.571429,2.714286
MSP-IMPROV-S07A-M02-R-MM01.wav,I'm going shopping..,N,2.8,3.6,3.2,3.2
MSP-IMPROV-S07A-M03-R-MM01.wav,I'm going shopping..,A,2.0,3.0,3.8,3.0
MSP-IMPROV-S07H-F02-R-FF01.wav,I'm going shopping..,H,4.8,2.8,3.4,2.8
MSP-IMPROV-S07H-F03-R-FF01.wav,I am going shopping..,H,4.5,2.0,3.833333,3.5
MSP-IMPROV-S07H-F05-R-FF01.wav,I'm doing something..,H,4.4,2.0,3.8,2.4
MSP-IMPROV-S07H-F06-R-FF01.wav,I'm going shopping..,H,3.833333,3.166667,3.166667,3.333333
MSP-IMPROV-S07H-M01-R-MM01.wav,I'm going shopping..,H,4.0,2.8,3.6,2.4
MSP-IMPROV-S07H-M01-R-MM02.wav,I'm going shopping..,H,3.2,2.4,3.8,2.2
MSP-IMPROV-S07H-M02-R-MM01.wav,I'm going shopping..,N,3.4,3.6,2.4,3.2
MSP-IMPROV-S07H-M03-R-MM01.wav,I'm going shopping..,H,3.8,3.6,2.8,3.2
MSP-IMPROV-S07N-F02-R-FF01.wav,I am going shopping..,N,3.125,4.25,3.125,3.625
MSP-IMPROV-S07N-F03-R-FF01.wav,I'm going shopping..,N,2.8,4.4,2.8,3.2
MSP-IMPROV-S07N-F05-R-FF01.wav,I'm going shopping..,N,3.4,3.6,2.8,4.2
MSP-IMPROV-S07N-F06-R-FF01.wav,I'm going shopping..,A,2.2,4.0,3.8,4.0
MSP-IMPROV-S07N-M01-R-MM01.wav,I'm going shopping..,N,3.0,4.0,3.4,2.6
MSP-IMPROV-S07N-M02-R-MM01.wav,I'm going shopping..,N,3.0,4.285714,2.142857,3.428571
MSP-IMPROV-S07N-M03-R-MM01.wav,I'm going shopping..,N,3.0,4.285714,2.285714,3.857143
MSP-IMPROV-S07S-F02-R-FF01.wav,I'm going shopping..,N,2.6,4.4,2.2,3.0
MSP-IMPROV-S07S-F02-R-FF02.wav,I'm going shopping..,X,2.333333,4.5,2.833333,3.166667
MSP-IMPROV-S07S-F03-R-FF01.wav,I'm going shopping..,S,2.0,3.8,2.4,3.6
MSP-IMPROV-S07S-F05-R-FF01.wav,I'm going shopping..,S,2.285714,4.428571,2.714286,3.714286
MSP-IMPROV-S07S-F06-R-FF01.wav,I'm going shopping..,S,1.6,3.6,3.0,2.4
MSP-IMPROV-S07S-M01-R-MM01.wav,I'm going to go shopping..,A,2.2,2.6,3.2,2.6
MSP-IMPROV-S07S-M01-R-MM02.wav,I'm going shopping..,A,1.6,2.2,3.8,1.6
MSP-IMPROV-S07S-M02-R-MM01.wav,i am going shopping,N,2.6,4.4,2.0,3.4
MSP-IMPROV-S07S-M03-R-MM01.wav,I'm going shopping..,N,2.375,4.625,2.875,3.25
MSP-IMPROV-S07S-M03-R-MM02.wav,I'm going shopping..,N,2.833333,4.666667,3.0,3.166667
MSP-IMPROV-S08A-F02-R-FF01.wav,A preliminary study shows rest to be more inquisitive one stop..,N,3.4,2.6,3.8,3.6
MSP-IMPROV-S08A-F03-R-FF01.wav,Preliminary study shows rest be more inquisitive than one spot..,A,1.4,2.2,4.0,3.8
MSP-IMPROV-S08A-F05-R-FF01.wav,A preliminary sign his rights to be more inquisitive than once thought..,A,2.333333,1.833333,4.166667,2.0
MSP-IMPROV-S08A-F06-R-FF01.wav,A preliminary study shows right to be more inquisitive than once thought..,N,2.8,2.8,3.2,2.0
MSP-IMPROV-S08A-M01-R-MM01.wav,Will probably still be more inquisitive than we thought?.,A,1.2,1.4,4.6,3.6
MSP-IMPROV-S08A-M01-R-MM02.wav,I'm living there anymore..,A,1.6,1.0,4.8,2.6
MSP-IMPROV-S08A-M02-R-MM01.wav,A preliminary study shows rest be more inquisitive than once thought..,N,3.0,4.0,2.666667,3.333333
MSP-IMPROV-S08A-M03-R-MM01.wav,Preliminary study so cratz to be more inquisitive than once thought..,N,2.8,4.0,3.6,3.0
MSP-IMPROV-S08H-F02-R-FF01.wav,every lunar study shows rats to be more inquisitive since once thought,H,3.8,3.6,3.2,3.4
MSP-IMPROV-S08H-F03-R-FF01.wav,a preliminary study shall wrath to be more inquisitive than one thought,X,3.6,3.0,3.2,3.6
MSP-IMPROV-S08H-F05-R-FF01.wav,a preliminary study shows rats to be born a quisitive than one thought,H,4.166667,2.0,4.0,3.0
MSP-IMPROV-S08H-F06-R-FF01.wav,a preliminary study shows rats to be more inquisitive than once fought,N,2.833333,3.333333,2.666667,1.833333
MSP-IMPROV-S08H-M01-R-MM01.wav,a plenary satans rest more equitation was thought,A,2.4,2.8,3.6,2.4
MSP-IMPROV-S08H-M01-R-MM02.wav,a polinesso reste more inquisitive and in thought,N,2.5,2.833333,3.166667,2.0
